date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2018-02-11 | 13
2019-12-09 | 737
2019-03-27 | 88
2021-07-19 | 485
2020-02-13 | 343
2021-06-16 | 413
2022-07-09 | 163
2019-09-25 | 584
2021-09-24 | 799
2019-05-04 | 538
2019-06-22 | 140
2021-04-05 | 334
2023-10-17 | 993
2020-08-22 | 690
2023-12-30 | 465
2019-10-04 | 142
2021-01-20 | 84
2018-05-23 | 744
2020-08-09 | 645
2018-09-11 | 246
2020-06-03 | 936
2018-01-10 | 329
2020-04-23 | 221
2018-01-01 | 913
2023-07-10 | 692
2019-06-27 | 548
2020-02-14 | 1000
2019-01-27 | 540
2018-07-21 | 114
2022-02-27 | 282
2019-08-01 | 612
2018-02-03 | 767
2023-05-28 | 679
2022-10-17 | 158
2018-07-15 | 384
2020-01-17 | 147
2019-02-09 | 466
2019-04-29 | 140
2019-10-21 | 964
2020-06-30 | 683
2020-04-26 | 947
2018-11-05 | 71
2022-12-01 | 627
2021-05-24 | 236
2023-06-13 | 889
2018-03-22 | 263
2022-01-23 | 142
2022-06-30 | 786
2018-08-10 | 788
2018-02-06 | 647
2018-02-13 | 720
2021-07-02 | 17
2018-10-31 | 478
2023-06-30 | 383
2022-08-26 | 267
2020-01-28 | 972
2020-06-10 | 439
2022-09-20 | 540
2021-10-28 | 307
2021-10-24 | 690
2019-02-21 | 257
2021-08-01 | 979
2023-03-09 | 388
2023-06-03 | 237
2018-04-02 | 227
2020-10-08 | 276
2018-08-19 | 793
2022-10-24 | 186
2021-05-20 | 119
2021-08-16 | 255
2018-06-18 | 257
2018-08-01 | 943
2021-08-06 | 956
2020-02-02 | 733
2020-04-29 | 930
2021-06-18 | 397
2020-11-17 | 784
2019-01-07 | 997
2020-01-30 | 178
2018-06-30 | 306
2020-06-28 | 329
2018-10-07 | 540
2019-03-20 | 703
2018-06-11 | 740
2019-03-16 | 562
2020-11-18 | 581
2022-01-08 | 258
2019-01-24 | 334
2019-06-18 | 440
2019-02-01 | 375
2023-10-12 | 284
2019-08-18 | 558
2020-05-31 | 354
2018-11-03 | 549
2022-03-08 | 696
2022-11-12 | 223
2018-09-13 | 905
2020-01-06 | 828
2021-03-12 | 583
2022-10-04 | 589
2020-12-11 | 44
2020-11-10 | 365
2020-05-10 | 735
2020-10-01 | 507
2022-06-08 | 447
2019-09-03 | 276
2021-07-18 | 587

